Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.15.60-192.168.0.9-443-51250-6,192.168.0.9,51250,157.240.15.60,443,6,26-05-2021 20:19,236012,0,3,0,28,0,0,0,0,28,0,9.333333333,16.16580754,118.6380354,12.71121807,118006,96511.59035,186250,49762,0,0,0,0,0,236012,118006,96511.59035,186250,49762,0,1,0,0,0,60,0,12.71121807,0,28,14,16.16580754,261.3333333,0,0,0,1,1,0,0,0,0,18.66666667,0,9.333333333,0,0,0,0,0,0,0,0,3,28,-1,487,0,0,0,0,0,0,0,0,0,0,No Label
157.240.15.60-192.168.0.9-443-51250-6,192.168.0.9,51250,157.240.15.60,443,6,26-05-2021 20:19,269,1,1,0,0,0,0,0,0,0,0,0,0,0,7434.944238,269,0,269,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3717.472119,3717.472119,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
142.250.195.131-192.168.0.9-443-51273-6,192.168.0.9,51273,142.250.195.131,443,6,26-05-2021 20:20,36750418,1,2,0,1,0,0,0,0,1,0,0.5,0.707106781,0.027210575,0.081631725,1.84E+07,2.59E+07,3.67E+07,50024,0,0,0,0,0,50024,50024,0,50024,50024,0,0,0,0,20,52,0.027210575,0.05442115,0,1,0.5,0.577350269,0.333333333,0,0,0,0,1,0,0,0,2,0.666666667,0,0.5,0,0,0,0,0,0,1,0,2,1,-1,261,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.9-34.232.97.135-51287-443-6,192.168.0.9,51287,34.232.97.135,443,6,26-05-2021 20:20,10727535,14,16,3367,5838,1360,0,240.5,426.5681928,1360,0,364.875,570.9922212,858.0722412,2.796541796,369915,1805081.389,9745685,1,1.05E+07,807531.5385,2763362.009,1.00E+07,13,1.07E+07,715138.7333,2500577.452,9745685,1,0,0,0,0,280,344,1.305052838,1.491488958,0,1360,296.9354839,498.7511026,248752.6624,0,1,0,0,0,0,0,0,1,306.8333333,240.5,364.875,0,0,0,0,0,0,14,3367,16,5838,-1,142,7,0,981395,0,981395,981395,9745685,0,9745685,9745685,No Label
192.168.0.9-52.184.87.25-51288-443-6,192.168.0.9,51288,52.184.87.25,443,6,26-05-2021 20:21,731851,13,16,3255,6812,1360,0,250.3846154,431.1365867,1360,0,425.75,591.0754605,13755.53221,39.6255522,26137.53571,76370.74137,385309,1,649497,54124.75,110941.4953,385904,8,731256,48750.4,100644.3948,385350,1,0,0,0,0,260,380,17.76317857,21.86237363,0,1360,335.5666667,518.8900411,269246.8747,0,1,0,0,0,0,0,0,1,347.137931,250.3846154,425.75,0,0,0,0,0,0,13,3255,16,6812,-1,2050,7,0,0,0,0,0,0,0,0,0,No Label
192.168.0.9-52.184.87.25-51288-443-6,52.184.87.25,443,192.168.0.9,51288,6,26-05-2021 20:21,1,1,1,0,42,0,0,0,0,42,42,42,0,4.20E+07,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000,1000000,0,42,28,24.24871131,588,0,0,0,1,1,0,0,0,1,42,0,42,0,0,0,0,0,0,1,0,1,42,-1,2050,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.9-52.170.57.27-51289-443-6,192.168.0.9,51289,52.170.57.27,443,6,26-05-2021 20:21,961961,9,8,2978,4474,1360,0,330.8888889,521.5216785,1360,0,559.25,669.6354552,7746.675801,17.67223411,60122.5625,98046.11911,228689,39,742352,92794,126809.0785,277439,61,909381,129911.5714,120037.3791,233200,187,0,0,0,0,180,184,9.355888648,8.316345465,0,1360,414,579.9139896,336300.2353,0,1,0,0,0,0,0,0,0,438.3529412,330.8888889,559.25,0,0,0,0,0,0,9,2978,8,4474,-1,2046,5,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,26-05-2021 20:19,118004191,85,1,0,0,0,0,0,0,0,0,0,0,0,0.728787675,1388284.6,731630.8063,2150110,14815,1.18E+08,1404381.548,720723.9314,2150110,14815,0,0,0,0,0,0,0,0,0,0,0,0.7203134,0.008474275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.9-52.98.56.210-51294-443-6,192.168.0.9,51294,52.98.56.210,443,6,26-05-2021 20:21,1423208,10,8,2889,3949,1360,0,288.9,440.9138112,1360,0,493.625,649.5602771,4804.638535,12.64748371,83718.11765,324286.2916,1341762,1,1401707,155745.2222,453095.9545,1363881,13,1409552,201364.5714,502988.1422,1341762,1,0,0,0,0,212,184,7.02637984,5.621103872,0,1360,359.8947368,528.4222738,279230.0994,0,1,0,0,0,0,0,0,0,379.8888889,288.9,493.625,0,0,0,0,0,0,10,2889,8,3949,-1,2046,5,0,0,0,0,0,0,0,0,0,No Label
192.168.0.9-20.198.162.78-51203-443-6,192.168.0.9,51203,20.198.162.78,443,6,26-05-2021 20:19,60104338,3,3,101,443,101,0,33.66666667,58.31237719,171,101,147.6666667,40.41451884,9.050927406,0.099826405,1.20E+07,2.68E+07,5.99E+07,44534,6.00E+07,3.00E+07,4.23E+07,5.99E+07,92380,6.01E+07,3.00E+07,4.24E+07,6.00E+07,59604,0,1,0,0,60,60,0.049913203,0.049913203,0,171,92.14285714,70.30037594,4942.142857,0,0,0,1,1,0,0,0,1,107.5,33.66666667,147.6666667,0,0,0,0,0,0,3,101,3,443,-1,7438,1,0,109662,0,109662,109662,5.99E+07,0,5.99E+07,5.99E+07,No Label
